Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,XBI,ILF,GAF,EPP,FXZ,Mkt-RF,SMB,HML,RF,,
2007/3/26,0.314747036,-0.5383598,1.0535161,0.4071475,-0.1325955,9.16E-03,-1.8433751,1.1794869,0,0,0,0.6408658,-0.1260316,0.06,-0.04,-0.08,0.019,,
2007/3/27,0.179416896,-0.4056746,-0.2128616,-0.7022267,-0.2377097,0.0274697,0.4640422,0.0586168,-0.0208852,-0.8637633,-0.6830426,-0.5063863,-0.270581,-0.61,-0.21,-0.01,0.019,,
2007/3/28,-0.336660988,-0.748053,0.5313197,-1.0741775,-0.730644,0.0274631,0.577035,1.5504167,-0.1254485,-1.3643636,-1.4133363,-1.2244495,-0.9255176,-0.74,0.22,-0.04,0.019,,
2007/3/29,0.179687818,0.1364278,-0.6074445,0.1148223,0.1057081,0.0274546,0.0766878,3.0678396,-0.041849,2.5816317,1.9341694,0.9328489,1.3760896,0.29,-0.2,0.17,0.019,,
2007/3/30,0.186838609,-0.6839998,0.1369907,-0.0918508,0.0211279,0,-3.5105007,-0.5048174,0.978876,-0.0952697,0,0.5972217,0.0719058,-0.07,0.27,-0.05,0.019,,
2007/4/2,0.17802078,-0.5505849,0.167186,0.1377433,0.1126156,4.59E-03,-0.4775181,0.3928599,0.4136432,1.4416718,1.5304394,0.5048682,0.5197544,0.22,0.08,-0.11,0.022,,
2007/4/3,-0.29187213,0.8247457,-0.0303706,1.2991649,1.0705004,0.0183443,-0.7607693,-2.0751584,0.9858373,1.6334525,1.3655332,1.827244,1.0845541,0.93,0.06,-0.11,0.022,,
2007/4/4,0.202151554,0.7500934,1.4777048,0.4067795,0.1112919,0.0550254,1.1985829,-0.2481097,0.5299609,0.471888,0.3777779,0.6378638,0.5642748,0.09,-0.17,-0.26,0.022,,
2007/4/5,0.529639642,-0.2721093,0.0748156,0.4949432,0.2707483,-9.17E-03,0.9879539,-0.6133889,1.5332179,0.4319672,0.3293862,0.5763792,0.9102128,0.31,0,-0.08,0.022,,
2007/4/9,-0.574524166,-0.1363368,-0.4947937,-0.2471666,0.1385593,9.17E-03,0.1178964,-3.243739,0.2798892,1.0185059,0.3751126,0.2511236,-0.366588,0.05,-0.24,0.06,0.022,,
2007/4/10,0.611719176,0.3404861,0.9424933,0.5161015,0.1176253,0.027498,0.3528736,0.5150626,-0.3199365,0.21311,0.5135045,1.4371221,1.009228,0.22,0.1,0.02,0.022,,
2007/4/11,0.044611646,-0.4087223,-0.1191925,-1.0574984,-0.4088254,0.0274904,0.078248,-0.2968282,-0.5623527,-0.5978542,-0.8259988,-0.9011176,-0.5033383,-0.64,-0.1,0.12,0.022,,
2007/4/12,0.378404684,-0.1366082,-0.1342642,0.7885635,0.4433973,0.0274819,-0.3133559,2.3309311,2.2307187,0.4806969,0.919076,1.0986992,0.745432,0.61,0.25,-0.19,0.022,,2
2007/4/13,0.421245419,-0.8236156,1.2608608,0.2017696,0.4552078,0.0183226,1.2863144,-0.2520152,0.7456906,1.1232485,0.941438,-0.0775604,0.9283154,0.34,0.24,-0.07,0.022,,
2007/4/16,0.044235892,1.4369059,0.8220921,0.9140647,0.9451401,0.0183124,-0.8166419,-0.623053,0.895285,1.2565608,1.6453782,1.2340463,1.3427601,1.06,0.29,0.11,0.022,,
2007/4/17,0.154672877,-0.6132904,-0.5865149,0.2216752,0.2654953,9.16E-03,-1.3364979,-1.7933282,-0.2522082,-0.0312153,0.7526751,0.1184079,0.0675126,0.09,-0.42,-0.12,0.022,,
2007/4/18,0.198524845,0.1366082,0.5572635,-0.3327082,0.1223053,0.0640699,-0.5953572,-0.2987197,0,-0.6160307,-0.5715111,-0.2578605,-0.1519637,0,-0.72,0.44,0.022,,
2007/4/19,0.146798004,-0.4789593,-1.2508412,0.310566,-0.0271711,9.15E-03,1.2265206,-1.8519008,-0.136059,0.1151395,-0.1509525,-1.3347676,-0.270726,-0.23,-0.38,0.03,0.022,,
2007/4/20,-0.110075561,0.4106806,1.7177227,0.5521827,0.9396722,-9.15E-03,0.2748878,1.6722421,1.0256486,1.3353261,1.3503601,1.4045182,1.6634792,0.89,0.19,0.04,0.022,,
2007/4/23,-0.139610198,-1.0989172,-0.6425183,0.1540672,-0.3775097,0.0365938,-1.9802644,2.3107615,2.1899322,-0.6992135,-0.2387302,-0.875511,-0.9375555,-0.24,0.07,-0.3,0.022,,
2007/4/24,0.47679881,-0.1382131,-0.7794715,0.5045509,0.0405138,9.14E-03,-0.2001959,-1.6337377,-0.1885334,-0.3749273,-0.104624,-1.2387337,0.168065,-0.1,-0.04,-0.24,0.022,,
2007/4/25,0.065848157,0.551724,0.2359476,1.3259634,0.9139858,0.0274394,2.3763425,1.8287817,0.5082267,1.1412174,1.6757223,1.6249123,1.2349985,0.91,-0.34,0.18,0.022,,
2007/4/26,-0.307623511,-0.4825896,-1.5138253,0.516905,0.1136616,-0.0274394,-0.4314516,-0.743209,1.0645501,-0.6104852,-0.8121163,-0.5622025,-0.5321805,-0.02,0.32,-0.35,0.022,,
2007/4/27,0.453777845,-0.5544025,1.0265581,0.0429552,-0.0802159,0.036577,-1.3056582,1.7513602,-0.6149337,-0.2077961,-0.4010961,-0.3600513,-0.0166805,-0.13,-0.29,-0.3,0.022,,
2007/4/30,-0.021909149,-0.7673611,-0.698112,-1.3185116,-0.8327269,0.0182874,-1.0408433,-1.1641536,-1.791657,-1.9481312,-1.017364,-1.2812533,0.083353,-0.93,-0.92,0.03,0.022,,
2007/5/1,-0.301442457,0,-0.5979895,-0.0870723,0.2559305,0.0284162,1.6364369,-1.7323287,0.7771845,0.0954085,0.3752357,0.3646953,-0.0666725,0.22,-0.09,0.03,0.018,,
2007/5/2,-0.102887722,0.5586612,-0.0449914,1.0829653,0.5834796,0.0458217,-0.5557744,-1.5408029,1.8891417,1.8527227,1.4870154,1.2766093,0.5321805,0.79,0.61,0.02,0.018,,
2007/5/3,-0.294546888,0.139181,1.2374276,0.3655554,0.5402079,9.16E-03,1.2658389,-0.6270902,-0.3154926,1.7781738,0.2506054,0.7232352,0,0.37,-0.35,0.32,0.018,,
2007/5/4,0.338652473,0.3471044,1.0318547,0.0858207,0.3783933,0.0183165,0.6660162,-2.0086759,0.0185911,1.0923532,0.4993462,0.5372913,0.8259055,0.25,0.17,-0.02,0.018,,
2007/5/7,0.007356966,0.4839261,0.0879478,0,0.0198759,-0.0183165,-1.1388346,-0.4981289,-0.1115694,-0.3949216,0.8606233,0.2849149,0.0164456,0.18,-0.37,0.33,0.018,,
2007/5/8,-0.412411773,-0.2071091,-0.5436038,0.2142218,-0.1325805,0.0366306,-1.9541991,1.1995966,-0.167579,-0.7229806,-0.9925644,-0.6125344,-0.7760252,-0.13,-0.04,-0.11,0.018,,
2007/5/9,0.022135358,1.2362746,-0.6354858,0.2137709,0.2716068,0.0549348,0.2815167,-1.3036936,0.055885,2.8213431,0.219798,1.2144281,0.3805122,0.35,0.06,-0.02,0.018,,
2007/5/10,-0.399196698,-1.5130917,-2.1731796,-1.3760768,-1.050752,9.15E-03,-0.7255154,0.2911899,-2.203271,-2.4286578,-2.0256521,-1.3751169,-2.4065393,-1.42,-0.5,0.28,0.018,,
2007/5/11,0.362309541,0.7594066,0.6794998,1.2692449,0.8520878,9.15E-03,2.4376828,0.8684877,1.8300737,1.7207496,1.0253492,1.7881077,2.1419883,0.95,0.18,0.06,0.018,,
2007/5/14,0.059028572,-0.2754805,-0.2561563,-0.6864021,-0.218987,9.15E-03,-0.2767311,-0.0205889,-0.5248448,-1.1978633,-0.6823927,-0.5372266,-0.4979315,-0.28,-0.62,0.06,0.018,,
2007/5/15,0.316672449,-0.8310305,0.3915108,-0.7778787,0.0265747,0.0365938,0.3162046,0.8816069,-0.4143053,0.5050544,-0.837071,-0.3181963,0.7129276,-0.27,-0.8,0.28,0.018,,
2007/5/16,-0.412613538,0.2084039,-1.422762,0.9714072,0.6817374,0.0548627,-0.1579794,-0.9434094,0.6020718,3.3390886,0.7924077,-0.0277146,0.1155782,0.82,-0.21,0.05,0.018,,
2007/5/17,-0.251345912,-0.8362406,-0.8265775,-0.4737248,-0.198087,9.14E-03,-0.6742086,3.3035754,-0.6020718,-0.1170031,-1.7274208,0.4149392,-0.4962793,-0.1,-0.33,0.02,0.018,,
2007/5/18,0.207038383,-0.2803088,0.7045503,0.8168513,0.8686498,9.14E-03,-0.9998072,-0.1196928,0.7332906,1.4191468,1.4291276,0.2343639,1.7263068,0.66,0.4,-0.49,0.018,,
2007/5/21,-0.325542252,0,0.2286776,0.6402059,-0.0524325,0,1.8319951,1.426901,0.6349282,0.8714896,0,-0.3033922,-0.8512027,0.31,0.92,-0.29,0.018,,
2007/5/22,-0.185439117,0.9776643,-0.7182747,0.0850519,-0.0786963,0,-1.3908455,-1.7868294,1.0370382,-0.7465212,0.4470999,-0.6234831,0.1150085,0.08,0.71,-0.04,0.018,,
2007/5/23,0.17802054,0.138885,0.5201236,-0.4686788,0.0131239,0.0548216,0.4392121,0.4995515,-0.3321644,-0.5345952,0.6373693,0.3537821,0.5077349,-0.18,-0.22,-0.13,0.018,,
2007/5/24,-0.282017258,-0.4869539,-1.2126958,-1.4410433,-0.9093999,0.0182656,1.7769449,-2.5026493,-1.3585429,-3.2540352,-2.9539606,-2.5316165,-1.1832459,-1.07,-0.42,-0.05,0.018,,
2007/5/25,0.148531179,-0.4192923,0.2930097,0.6262867,0.4161888,0.018269,1.7459241,1.1581964,0.3740466,2.5075861,0.8938846,0.8979605,0.9215102,0.55,0.23,-0.08,0.018,,
2007/5/29,0.014844612,1.0449466,0.1999816,0.7720399,0.3619281,9.13E-03,-1.628573,-2.2472815,0.7068522,0.1166897,-0.2265043,0.3022033,0.0327533,0.24,0.6,0.01,0.018,,
